Country_Name,Year,Gini_Index_(Official),Palma_Ratio,20/20_Income_Gap_Ratio,Income_Share:_Bottom_40%,Income_Share:_Poorest_20%,Income_Share:_Second_Quintile,Income_Share:_Middle_Quintile,Income_Share:_Fourth_Quintile,Income_Share:_Richest_20%,Income_Classification,World_Bank_Region,Total_Population,Inequality_Index_(UNDP),Gini_Index_(World Bank),Local_Currency,World_Bank_Lending_Group,Last_Census_Year,Inequality_Category
Taiwan,1996,29,2.05,9.12,20.96,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,21364130,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1998,29.5,2.05,9.12,21.26,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,21595372,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,1999,29.2,2.05,9.12,21.26,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,21711573,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2001,31.2,2.05,9.12,21.23,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,21985282,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2002,31.3,2.05,9.12,21.23,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,22143337,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2003,30.6,2.05,9.12,21.23,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,22306338,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2004,30.1,2.05,9.12,21.23,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,22462374,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2006,29.5,2.05,9.12,20.66,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,22725478,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2008,30,2.05,9.12,20.64,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,22928526,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2009,30.2,2.05,9.12,20.64,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,23017055,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2011,29.6,2.05,9.12,19.93,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,23185010,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2012,29,2.05,9.12,19.93,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,23263897,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2014,28.2,2.05,9.12,20.49,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,23413652,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2015,27.9,2.05,9.12,20.49,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,23485755,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Taiwan,2017,27.7,2.05,9.12,21,6.53,11.16,15.48,21.77,45.11,High income,East Asia and the Pacific,23626456,23.36,37.53,Australian dollar,IDA,2012,Medium Inequality
Tanzania,1968,50.8,2.05,9.12,13.5,6.53,11.16,15.48,21.77,45.11,Low income,Sub-Saharan Africa,12787489,23.36,37.53,Tanzanian shilling,IDA,2012,Medium Inequality
Tanzania,1977,52,2.05,9.12,16,6.53,11.16,15.48,21.77,45.11,Low income,Sub-Saharan Africa,17017670,23.36,37.53,Tanzanian shilling,IDA,2012,Medium Inequality
Tanzania,1983,52,2.05,9.12,16,6.53,11.16,15.48,21.77,45.11,Low income,Sub-Saharan Africa,20524666,23.36,37.53,Tanzanian shilling,IDA,2012,Medium Inequality
Uzbekistan,1981,24.8,2.05,9.12,12.62,6.53,11.16,15.48,21.77,45.11,Lower middle income,Europe and Central Asia,16363562,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Uzbekistan,1986,26.4,2.05,9.12,12.62,6.53,11.16,15.48,21.77,45.11,Lower middle income,Europe and Central Asia,18565477,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Uzbekistan,1988,30.6,2.05,9.12,12.62,6.53,11.16,15.48,21.77,45.11,Lower middle income,Europe and Central Asia,19501225,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Uzbekistan,1990,31.5,2.05,9.12,22.47,6.53,11.16,15.48,21.77,45.11,Lower middle income,Europe and Central Asia,20462463,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Uzbekistan,2005,39.7,2.05,9.12,19.44,6.53,11.16,15.48,21.77,45.11,Lower middle income,Europe and Central Asia,26512184,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Saint Vincent and the Grenadines,1995,56,2.05,9.12,19.44,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,108043,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Saint Vincent and the Grenadines,2008,40,2.05,9.12,19.44,6.53,11.16,15.48,21.77,45.11,Upper middle income,Latin America and the Caribbean,108401,26.02,37.53,Uzbek som,Blend,1989,Medium Inequality
Vietnam,1996,36.7,2.05,9.12,19.33,6.53,11.16,15.48,21.77,45.11,Lower middle income,East Asia and the Pacific,76372719,21,37.53,Vietnamese dong,IBRD,2019,Medium Inequality
Yugoslavia,1964,23,2.05,9.12,20.41,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,19125500,21.8,37.53,Yemeni rial,IDA,2004,Medium Inequality
Yugoslavia,1965,30.6,2.05,9.12,20.41,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,19328000,21.8,37.53,Yemeni rial,IDA,2004,Medium Inequality
Yugoslavia,1966,23,2.05,9.12,20.41,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,19539000,21.8,37.53,Yemeni rial,IDA,2004,Medium Inequality
Yugoslavia,1967,24,2.05,9.12,20.41,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,19742000,21.8,37.53,Yemeni rial,IDA,2004,Medium Inequality
Yugoslavia,1969,24,2.05,9.12,18.4,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,20119000,21.8,37.53,Yemeni rial,IDA,2004,Medium Inequality
